Time,Hex,Event_No,IN_1,IN_2,IN_3,IN_4,IN_5,IN_6,IN_7,IN_8,IN_9,IN_10,IN_11,IN_12,IN_13,IN_14,IN_15,IN_16
13:28.4,0xFF03,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.4,0xFF02,2,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.4,0xFF02,3,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.4,0xFF02,4,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.4,0xFF02,5,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.5,0xFF02,6,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.5,0xFF02,7,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.5,0xFF02,8,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.5,0xFF02,9,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.5,0xFF02,10,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.5,0xFF02,11,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.5,0xFF02,12,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.5,0xFF02,13,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.5,0xFF02,14,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.5,0xFF02,15,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.6,0xFF02,16,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.6,0xFF03,17,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.6,0xFF03,18,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.6,0xFF03,19,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.6,0xFF03,20,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.6,0xFF03,21,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.6,0xFF03,22,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.6,0xFF03,23,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.6,0xFF03,24,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.6,0xFF03,25,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.7,0xFF03,26,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.7,0xFF03,27,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.7,0xFF03,28,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.7,0xFF03,29,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.7,0xFF03,30,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.7,0xFF03,31,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.7,0xFF02,32,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.7,0xFF02,33,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.7,0xFF02,34,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.7,0xFF02,35,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.8,0xFF02,36,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.8,0xFF02,37,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.8,0xFF02,38,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.8,0xFF02,39,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.8,0xFF02,40,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.8,0xFF02,41,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.8,0xFF02,42,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.8,0xFF02,43,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.8,0xFF02,44,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.8,0xFF02,45,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.9,0xFF02,46,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.9,0xFF03,47,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.9,0xFF03,48,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.9,0xFF03,49,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.9,0xFF03,50,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.9,0xFF03,51,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.9,0xFF03,52,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.9,0xFF03,53,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.9,0xFF03,54,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:28.9,0xFF03,55,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.0,0xFF03,56,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.0,0xFF03,57,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.0,0xFF03,58,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.0,0xFF03,59,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.0,0xFF03,60,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.0,0xFF03,61,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.0,0xFF02,62,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.0,0xFF02,63,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.0,0xFF02,64,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.1,0xFF02,65,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.1,0xFF02,66,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.1,0xFF02,67,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.1,0xFF02,68,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.1,0xFF02,69,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.1,0xFF02,70,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.1,0xFF02,71,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.1,0xFF02,72,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.1,0xFF02,73,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.1,0xFF02,74,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.2,0xFF02,75,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.2,0xFF03,76,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.2,0xFF03,77,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.2,0xFF03,78,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.2,0xFF03,79,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.2,0xFF03,80,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.2,0xFF03,81,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.2,0xFF03,82,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.2,0xFF03,83,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.2,0xFF03,84,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.3,0xFF03,85,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.3,0xFF03,86,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.3,0xFF03,87,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
13:29.3,0xFF03,88,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
